year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,state,primary_race,primary_eligibility,primary_denominator,analysis_value
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,15,HAWAII,All,All,"10,000+",205
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,16,IDAHO,All,All,"10,000+",199
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,17,ILLINOIS,All,All,"10,000+",341
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,18,INDIANA,All,All,"10,000+",299
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,19,IOWA,All,All,"10,000+",264
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,20,KANSAS,All,All,"10,000+",300
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,21,KENTUCKY,All,All,"10,000+",260
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,22,LOUISIANA,All,All,"10,000+",354
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,23,MAINE,All,All,"10,000+",189
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,24,MARYLAND,All,All,"10,000+",329
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,25,MASSACHUSETTS,All,All,"10,000+",324
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,26,MICHIGAN,All,All,"10,000+",302
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,27,MINNESOTA,All,All,"10,000+",282
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,28,MISSISSIPPI,All,All,"10,000+",302
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,29,MISSOURI,All,All,"10,000+",322
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,30,MONTANA,All,All,"10,000+",228
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,31,NEBRASKA,All,All,"10,000+",276
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,32,NEVADA,All,All,"10,000+",392
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,33,NEW HAMPSHIRE,All,All,"10,000+",234
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,34,NEW JERSEY,All,All,"10,000+",332
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,35,NEW MEXICO,All,All,"10,000+",250
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,36,NEW YORK,All,All,"10,000+",283
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,37,NORTH CAROLINA,All,All,"10,000+",287
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,38,NORTH DAKOTA,All,All,"10,000+",303
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,39,OHIO,All,All,"10,000+",294
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,40,OKLAHOMA,All,All,"10,000+",302
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,41,OREGON,All,All,"10,000+",198
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,42,PENNSYLVANIA,All,All,"10,000+",297
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,44,RHODE ISLAND,All,All,"10,000+",247
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,45,SOUTH CAROLINA,All,All,"10,000+",284
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,46,SOUTH DAKOTA,All,All,"10,000+",310
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,47,TENNESSEE,All,All,"10,000+",291
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,48,TEXAS,All,All,"10,000+",332
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,49,UTAH,All,All,"10,000+",225
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,50,VERMONT,All,All,"10,000+",217
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,51,VIRGINIA,All,All,"10,000+",280
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,53,WASHINGTON,All,All,"10,000+",210
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,54,WEST VIRGINIA,All,All,"10,000+",266
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,55,WISCONSIN,All,All,"10,000+",250
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,56,WYOMING,All,All,"10,000+",249
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,60,AMERICAN SAMOA,All,All,"1,000-4,999",134
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,66,GUAM,All,All,"1,000-4,999",358
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,69,NORTHERN MARIANAS,All,All,"11-499",179
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,72,PUERTO RICO,All,All,"10,000+",113
2021,State/Territory,Hospitalization,Unsmoothed actual,Base measure,Primary chronic conditions,"All-Cause Hospitalizations",All,<65,Dual & non-dual,78,VIRGIN ISLANDS,All,All,"1,000-4,999",146
